geneid,cid,aid,acname,acvalue
5159,3038525,624875,Kd,8.4
5159,447077,624875,Kd,0.0014
5159,24180719,624875,Kd,0.2
5159,6918454,624875,Kd,3.1
5159,9869779,624875,Kd,0.00029
5159,45487992,443945,IC50,0.083
5159,11562302,1342658,IC50,0.015
5159,11719421,1342658,IC50,0.0059
5159,447077,435505,IC50,1.66
5159,447700,435505,IC50,0.139
5159,5328733,435505,IC50,0.636
5159,5330525,435505,IC50,2.34
5159,5311104,435505,IC50,1.43
5159,5330524,435505,IC50,1.25
5159,3038525,435926,Kd,8.4
5159,5327897,443945,IC50,0.076
5159,447700,443945,IC50,0.045
5159,5327893,443945,IC50,0.5
5159,10454329,443945,IC50,0.024
5159,5330524,443945,IC50,0.047
5159,10029735,443945,IC50,0.203
5159,5327898,443945,IC50,0.082
5159,10070245,443945,IC50,0.03
5159,10071040,443945,IC50,0.244
5159,5330790,435926,Kd,0.91
5159,135565635,624875,Kd,0.078
5159,11676103,1342658,IC50,0.0163
5159,10382627,1342658,IC50,0.628
5159,118970904,1343986,IC50,0.13
5159,118970906,1343986,IC50,0.282
5159,118970905,1343986,IC50,0.089
5159,118983114,1343986,IC50,0.749
5159,118970903,1343986,IC50,2.82
5159,118970911,1343986,IC50,0.176
5159,118970902,1343986,IC50,1.934
5159,118983111,1343986,IC50,0.81
5159,6450842,636126,IC50,3.75
5159,10401378,155175,IC50,2
5159,10336427,155180,IC50,10
5159,10106010,155181,IC50,4
5159,10243546,155182,IC50,8
5159,10265642,155178,IC50,2
5159,10447210,155178,IC50,2
5159,10402592,157492,IC50,0.2
5159,10242258,157499,IC50,0.25
5159,10083695,157501,IC50,0.6
5159,10042684,157493,IC50,0.2
5159,10243001,157493,IC50,0.2
5159,10314618,157500,IC50,0.4
5159,10245626,157502,IC50,0.8
5159,5281855,650815,IC50,1.3
5159,46831269,1257914,IC50,0.02
5159,46831270,1257914,IC50,0.041
5159,46831271,1257914,IC50,0.065
5159,46831272,1257914,IC50,0.015
5159,46831578,1257914,IC50,0.021
5159,46830969,1257914,IC50,0.233
5159,46830971,1257914,IC50,0.015
5159,46831579,1257914,IC50,0.0096
5159,58579022,1257914,IC50,0.024
5159,46830968,1257914,IC50,0.053
5159,46830970,1257914,IC50,0.012
5159,46831268,1257914,IC50,0.018
5159,42642645,1318749,IC50,0.0096
5159,42642645,1330831,IC50,0.0096
5159,44444041,1342658,IC50,0.0012
5159,11569758,1342658,IC50,0.0028
5159,5353593,1343035,IC50,3.75
5159,25181586,1343035,IC50,2.8
5159,118638423,1343678,IC50,0.032
5159,118638432,1343678,IC50,0.027
5159,118638438,1343678,IC50,0.093
5159,118638441,1343678,IC50,0.043
5159,118638413,1343678,IC50,1.531
5159,118638414,1343678,IC50,0.034
5159,118638417,1343678,IC50,3.61
5159,118638445,1343678,IC50,2.715
5159,118638449,1343678,IC50,0.08
5159,118638411,1343678,IC50,0.055
5159,118638440,1343678,IC50,0.067
5159,118638443,1343678,IC50,0.185
5159,118638444,1343678,IC50,0.628
5159,118638410,1343678,IC50,6.574
5159,118638418,1343678,IC50,6.083
5159,118638430,1343678,IC50,0.767
5159,118638435,1343678,IC50,0.938
5159,118638442,1343678,IC50,4.313
5159,118699715,1343779,IC50,0.016
5159,118699724,1343779,IC50,0.007
5159,118699728,1343779,IC50,0.016
5159,123131671,1343779,IC50,0.018
5159,123131670,1343779,IC50,0.011
5159,118699714,1343779,IC50,0.015
5159,118699731,1343779,IC50,0.014
5159,118699717,1343779,IC50,0.01
5159,118699717,1343780,IC50,0.058
5159,118699714,1343780,IC50,0.2
5159,118699731,1343780,IC50,0.103
5159,118130044,1343857,IC50,0.054
5159,118130059,1343857,IC50,0.026
5159,118130065,1343857,IC50,0.022
5159,118130070,1343857,IC50,0.014
5159,118130071,1343857,IC50,0.016
5159,118130076,1343857,IC50,0.019
5159,118130078,1343857,IC50,0.014
5159,118130099,1343857,IC50,0.025
5159,118130104,1343857,IC50,0.027
5159,118130111,1343857,IC50,0.007
5159,91809241,1343857,IC50,0.011
5159,118150117,1343857,IC50,0.013
5159,118130052,1343857,IC50,0.006
5159,118130067,1343857,IC50,0.006
5159,118130122,1343857,IC50,0.016
5159,118130046,1343857,IC50,0.034
5159,118130047,1343857,IC50,0.013
5159,118130056,1343857,IC50,0.009
5159,118130057,1343857,IC50,0.019
5159,118130077,1343857,IC50,0.008
5159,118130082,1343857,IC50,0.04
5159,118130084,1343857,IC50,0.045
5159,118130092,1343857,IC50,0.015
5159,118130097,1343857,IC50,0.03
5159,118130068,1343857,IC50,0.013
5159,118130109,1343857,IC50,0.038
5159,118970912,1343985,IC50,0.244
5159,118970909,1343985,IC50,0.017
5159,118970893,1343985,IC50,0.019
5159,118970898,1343985,IC50,0.13
5159,118970899,1343985,IC50,0.239
5159,9811611,1344798,IC50,2.63667
5159,9811611,1344813,IC50,1.86
